[u'mc', u'01', u'0000101d', u'00000000', u'00000000', u'00000000', u'0adf', u'72', u'000c0188', u'a0:0']
[u'mr', u'01', u'00000fa5', u'00000000', u'00000000', u'00000000', u'0adf', u'72', u'40494049', u'a0:0']
[u'mc', u'01', u'0000105a', u'00000000', u'00000000', u'00000000', u'0ae0', u'73', u'000c029f', u'a0:0']
[u'mr', u'01', u'00000fe2', u'00000000', u'00000000', u'00000000', u'0ae0', u'73', u'40494049', u'a0:0']
[u'mc', u'01', u'00001051', u'00000000', u'00000000', u'00000000', u'0ae1', u'74', u'000c03b8', u'a0:0']
[u'mr', u'01', u'00000fd9', u'00000000', u'00000000', u'00000000', u'0ae1', u'74', u'40494049', u'a0:0']
[u'mc', u'01', u'000010aa', u'00000000', u'00000000', u'00000000', u'0ae2', u'75', u'000c04d0', u'a0:0']
[u'mr', u'01', u'00001032', u'00000000', u'00000000', u'00000000', u'0ae2', u'75', u'40494049', u'a0:0']
[u'mc', u'01', u'000010bd', u'00000000', u'00000000', u'00000000', u'0ae3', u'76', u'000c05e7', u'a0:0']
[u'mr', u'01', u'00001045', u'00000000', u'00000000', u'00000000', u'0ae3', u'76', u'40494049', u'a0:0']
[u'mc', u'01', u'000010e2', u'00000000', u'00000000', u'00000000', u'0ae4', u'77', u'000c06ff', u'a0:0']
[u'mr', u'01', u'0000106a', u'00000000', u'00000000', u'00000000', u'0ae4', u'77', u'40494049', u'a0:0']
[u'mc', u'01', u'0000111a', u'00000000', u'00000000', u'00000000', u'0ae5', u'78', u'000c0818', u'a0:0']
[u'mr', u'01', u'000010a2', u'00000000', u'00000000', u'00000000', u'0ae5', u'78', u'40494049', u'a0:0']
[u'mc', u'01', u'00001190', u'00000000', u'00000000', u'00000000', u'0ae6', u'79', u'000c092f', u'a0:0']
[u'mr', u'01', u'00001118', u'00000000', u'00000000', u'00000000', u'0ae6', u'79', u'40494049', u'a0:0']
[u'mc', u'01', u'000011db', u'00000000', u'00000000', u'00000000', u'0ae7', u'7a', u'000c0a47', u'a0:0']
[u'mr', u'01', u'00001163', u'00000000', u'00000000', u'00000000', u'0ae7', u'7a', u'40494049', u'a0:0']
[u'mc', u'01', u'0000122f', u'00000000', u'00000000', u'00000000', u'0ae8', u'7b', u'000c0b5f', u'a0:0']
[u'mr', u'01', u'000011b7', u'00000000', u'00000000', u'00000000', u'0ae8', u'7b', u'40494049', u'a0:0']
[u'mc', u'01', u'00001288', u'00000000', u'00000000', u'00000000', u'0ae9', u'7c', u'000c0c77', u'a0:0']
[u'mr', u'01', u'00001210', u'00000000', u'00000000', u'00000000', u'0ae9', u'7c', u'40494049', u'a0:0']
[u'mc', u'01', u'000012bc', u'00000000', u'00000000', u'00000000', u'0aea', u'7d', u'000c0d8f', u'a0:0']
[u'mr', u'01', u'00001244', u'00000000', u'00000000', u'00000000', u'0aea', u'7d', u'40494049', u'a0:0']
[u'mc', u'01', u'00001310', u'00000000', u'00000000', u'00000000', u'0aeb', u'7e', u'000c0ea7', u'a0:0']
[u'mr', u'01', u'000012a2', u'00000000', u'00000000', u'00000000', u'0aeb', u'7e', u'40494049', u'a0:0']
[u'mc', u'01', u'0000132c', u'00000000', u'00000000', u'00000000', u'0aec', u'7f', u'000c0fbf', u'a0:0']
[u'mr', u'01', u'000012be', u'00000000', u'00000000', u'00000000', u'0aec', u'7f', u'40494049', u'a0:0']
[u'mc', u'01', u'0000132c', u'00000000', u'00000000', u'00000000', u'0aed', u'80', u'000c10d8', u'a0:0']
[u'mr', u'01', u'000012be', u'00000000', u'00000000', u'00000000', u'0aed', u'80', u'40494049', u'a0:0']
[u'mc', u'01', u'00001330', u'00000000', u'00000000', u'00000000', u'0aee', u'81', u'000c11f0', u'a0:0']
[u'mr', u'01', u'000012c2', u'00000000', u'00000000', u'00000000', u'0aee', u'81', u'40494049', u'a0:0']
[u'mc', u'01', u'0000134d', u'00000000', u'00000000', u'00000000', u'0aef', u'82', u'000c1307', u'a0:0']
[u'mr', u'01', u'000012df', u'00000000', u'00000000', u'00000000', u'0aef', u'82', u'40494049', u'a0:0']
[u'mc', u'01', u'00001372', u'00000000', u'00000000', u'00000000', u'0af0', u'83', u'000c141f', u'a0:0']
[u'mr', u'01', u'00001304', u'00000000', u'00000000', u'00000000', u'0af0', u'83', u'40494049', u'a0:0']
[u'mc', u'01', u'000013af', u'00000000', u'00000000', u'00000000', u'0af1', u'84', u'000c1538', u'a0:0']
[u'mr', u'01', u'00001341', u'00000000', u'00000000', u'00000000', u'0af1', u'84', u'40494049', u'a0:0']
[u'mc', u'01', u'000013cb', u'00000000', u'00000000', u'00000000', u'0af2', u'85', u'000c164f', u'a0:0']
[u'mr', u'01', u'0000135d', u'00000000', u'00000000', u'00000000', u'0af2', u'85', u'40494049', u'a0:0']
[u'mc', u'01', u'00001429', u'00000000', u'00000000', u'00000000', u'0af3', u'86', u'000c1767', u'a0:0']
[u'mr', u'01', u'000013bb', u'00000000', u'00000000', u'00000000', u'0af3', u'86', u'40494049', u'a0:0']
[u'mc', u'01', u'00001458', u'00000000', u'00000000', u'00000000', u'0af4', u'87', u'000c187f', u'a0:0']
[u'mr', u'01', u'000013ea', u'00000000', u'00000000', u'00000000', u'0af4', u'87', u'40494049', u'a0:0']
[u'mc', u'01', u'00001490', u'00000000', u'00000000', u'00000000', u'0af5', u'88', u'000c1997', u'a0:0']
[u'mr', u'01', u'00001422', u'00000000', u'00000000', u'00000000', u'0af5', u'88', u'40494049', u'a0:0']
[u'mc', u'01', u'000014a8', u'00000000', u'00000000', u'00000000', u'0af6', u'89', u'000c1ab0', u'a0:0']
[u'mr', u'01', u'0000143a', u'00000000', u'00000000', u'00000000', u'0af6', u'89', u'40494049', u'a0:0']
[u'mc', u'01', u'000014b1', u'00000000', u'00000000', u'00000000', u'0af7', u'8a', u'000c1bc7', u'a0:0']
[u'mr', u'01', u'00001443', u'00000000', u'00000000', u'00000000', u'0af7', u'8a', u'40494049', u'a0:0']
[u'mc', u'01', u'00001518', u'00000000', u'00000000', u'00000000', u'0af8', u'8b', u'000c1cdf', u'a0:0']
[u'mr', u'01', u'000014b4', u'00000000', u'00000000', u'00000000', u'0af8', u'8b', u'40494049', u'a0:0']
[u'mc', u'01', u'000014f7', u'00000000', u'00000000', u'00000000', u'0af9', u'8c', u'000c1df7', u'a0:0']
[u'mr', u'01', u'00001493', u'00000000', u'00000000', u'00000000', u'0af9', u'8c', u'40494049', u'a0:0']
[u'mc', u'01', u'0000153d', u'00000000', u'00000000', u'00000000', u'0afa', u'8d', u'000c1f0f', u'a0:0']
